,ES1,ES2,arrival rate I1,rho1,rho2,approximated sojourn time,Kingman formula sojourn time,simulation sojourn time,CV of inter-arrival at I2,error predict theorem
0,50.0,100,0.01,0.5,0.01,100.00081624406506,100.0068529216282,100.56935906756658,0.011833083405441008,9.539842873176206e-05
1,25.0,100,0.02,0.5,0.02,100.00163265306122,100.01151297072437,99.99584016824149,0.00968271130987392,0.0001927437641723356
2,16.666666666666668,100,0.03,0.5,0.03,100.00246572518297,100.01695302466567,100.10964394601712,0.009400755336566279,0.0002920962199312714
3,12.5,100,0.04,0.5,0.04,100.00335069806209,100.02471508353567,99.73970070143952,0.010201759789820106,0.0003935185185185185
4,10.0,100,0.05,0.5,0.05,100.00418394191308,100.02866663283727,99.91971155222735,0.009362535688230686,0.0004970760233918128
5,8.333333333333332,100,0.060000000000000005,0.5,0.060000000000000005,100.00511543781253,100.03283669159069,100.01125844665769,0.008670617779063309,0.0006028368794326242
6,7.142857142857143,100,0.06999999999999999,0.5,0.06999999999999999,100.00596604341285,100.04313259184194,100.11298220157016,0.009967489904355038,0.0007108721624850655
7,6.25,100,0.08,0.5,0.08,100.00692817559491,100.04808477615856,99.96854684689688,0.009504747678476144,0.0008212560386473431
8,5.555555555555555,100,0.09,0.5,0.09,100.00790242830458,100.05840276232195,99.81226581030278,0.010224772856331376,0.0009340659340659341
9,5.0,100,0.1,0.5,0.09999999999999999,100.00888888888889,100.0640519513325,100.01050216526849,0.009929351239849848,0.0010493827160493827
10,4.545454545454546,100,0.11,0.5,0.11,100.00985735145457,100.07212337529322,99.95098437870232,0.010106734917694067,0.00116729088639201
11,4.166666666666667,100,0.12,0.5,0.12,100.01088843444671,100.07755456759702,100.11218802674328,0.009796248814507923,0.0012878787878787877
12,3.846153846153846,100,0.13,0.5,0.13,100.0119540229885,100.08553838182551,100.09453274286466,0.009848983413569724,0.0014112388250319284
13,3.571428571428571,100,0.14,0.5,0.14,100.0130124404139,100.09317618830178,99.95350740724992,0.009856874847514943,0.0015374677002583982
14,3.333333333333333,100,0.15000000000000002,0.5,0.15000000000000002,100.01408444078561,100.10352479853165,99.88702173950135,0.010160472437069003,0.001666666666666667
15,3.125,100,0.16,0.5,0.16,100.01524943445648,100.10403573973475,99.90561258337868,0.009315629956680206,0.001798941798941799
16,2.941176470588235,100,0.17,0.5,0.17,100.01638554216868,100.11630315646435,100.09435908263005,0.009756661160637259,0.0019344042838018746
17,2.7777777777777772,100,0.18000000000000002,0.5,0.18000000000000002,100.01765625,100.12412566972863,99.94492904011838,0.009648202283372506,0.002073170731707317
18,2.6315789473684212,100,0.19,0.5,0.19,100.01878982464807,100.13693047829338,100.0628294908291,0.010059968593267644,0.002215363511659808
19,2.5,100,0.2,0.5,0.2,100.02005002501251,100.14957025199166,99.86650144314237,0.010335765817617712,0.002361111111111111
20,2.380952380952381,100,0.21000000000000002,0.5,0.21000000000000002,100.02124019235636,100.16276400872142,100.00344316970768,0.010660831238481463,0.0025105485232067514
21,2.272727272727273,100,0.22,0.5,0.22,100.02251153254741,100.17030584174088,99.93265241500802,0.010504433414807304,0.0026638176638176638
22,2.173913043478261,100,0.22999999999999998,0.5,0.23,100.02388261264771,100.1739677944706,100.04042921610603,0.010054858505594306,0.002821067821067821
23,2.083333333333333,100,0.24000000000000002,0.5,0.24000000000000002,100.02522162304354,100.18737392154674,99.82246877310239,0.010286557576302141,0.0029824561403508773
24,2.0,100,0.25,0.5,0.25,100.02663822980539,100.20230817170436,100.0743433684869,0.010551448391722461,0.003148148148148148
25,1.923076923076923,100,0.26,0.5,0.26,100.02818120351589,100.2117957368369,99.87831878034373,0.010424794425404144,0.003318318318318318
26,1.8518518518518516,100,0.27,0.5,0.27,100.02964912280702,100.21768541131067,99.8683551688536,0.010147283734634591,0.003493150684931507
27,1.7857142857142856,100,0.28,0.5,0.28,100.03123470522803,100.22228462572134,100.05333785091207,0.009786545784814145,0.00367283950617284
28,1.7241379310344827,100,0.29000000000000004,0.5,0.29000000000000004,100.03275546159267,100.23617368380455,99.88302053620217,0.009936332437819828,0.003857589984350548
29,1.6666666666666667,100,0.3,0.5,0.3,100.0341389641889,100.24617864873824,99.96136574995234,0.009937720822509846,0.004047619047619047
30,1.6129032258064517,100,0.31,0.5,0.31,100.03580775911986,100.24914576183988,99.99522947095375,0.009532593291008591,0.004243156199677939
31,1.5625,100,0.32,0.5,0.32,100.03787240312361,100.2737474097856,100.06417872236284,0.00996503996398897,0.0044444444444444444
32,1.5151515151515151,100,0.33,0.5,0.33,100.0394743130227,100.29055675493699,99.95569784537602,0.01017704619284555,0.004651741293532338
33,1.4705882352941175,100,0.34,0.5,0.34,100.04132241431604,100.29340585713965,99.97655908629461,0.009760647222424262,0.004865319865319866
34,1.4285714285714284,100,0.35000000000000003,0.5,0.35000000000000003,100.04302014454866,100.3183405982818,99.89590828014704,0.010239684933523204,0.005085470085470087
35,1.3888888888888886,100,0.36000000000000004,0.5,0.36000000000000004,100.04503907471084,100.32496220509773,99.97394949589255,0.009944187608080461,0.005312500000000001
36,1.3513513513513513,100,0.37,0.5,0.37,100.04690355329949,100.34680486231684,99.9897425273587,0.010230399632280335,0.005546737213403881
37,1.3157894736842106,100,0.38,0.5,0.38,100.04888674077654,100.34881778511136,100.06590604358998,0.00981635640488379,0.0057885304659498205
38,1.282051282051282,100,0.39,0.5,0.39,100.05134132326383,100.36123725524077,99.91603034547238,0.009657590799035567,0.006038251366120219
39,1.25,100,0.4,0.5,0.4,100.05340003335,100.39731271830476,99.99933456069286,0.010304493488252237,0.006296296296296296
40,1.2195121951219512,100,0.41000000000000003,0.5,0.41000000000000003,100.05563919972872,100.41013335090209,100.02828602689685,0.010194083391616414,0.006563088512241055
41,1.1904761904761905,100,0.42000000000000004,0.5,0.42000000000000004,100.05805004314064,100.41493036993742,99.89240743928501,0.00983648748531433,0.006839080459770116
42,1.1627906976744187,100,0.43,0.5,0.43,100.06035087719299,100.42678816406138,99.83304726217294,0.009714849000697126,0.00712475633528265
43,1.1363636363636365,100,0.44,0.5,0.44,100.06316392269149,100.45187678694226,99.89422127155393,0.009846452789815743,0.007420634920634921
44,1.111111111111111,100,0.45000000000000007,0.5,0.45,100.06553392759687,100.46397376801846,100.02306075979989,0.009727842783910656,0.007727272727272728
45,1.0869565217391306,100,0.45999999999999996,0.5,0.46,100.06831294030404,100.49354679491759,99.95775142693856,0.009959667441534885,0.008045267489711933
46,1.0638297872340425,100,0.47000000000000003,0.5,0.47000000000000003,100.07094339622641,100.49471275554411,99.98982220595627,0.00955735150801631,0.008375262054507336
47,1.0416666666666665,100,0.48000000000000004,0.5,0.48000000000000004,100.07349194167307,100.52540363841507,100.01808061934476,0.009838612211442417,0.00871794871794872
48,1.0204081632653061,100,0.49,0.5,0.49,100.07729453401494,100.5587066250604,100.11567598491584,0.009965249878132635,0.009074074074074073
49,1.0,100,0.5,0.5,0.5,100.07990405756546,100.5827473285585,100.04344223098435,0.010068940903654741,0.009444444444444445
50,0.9803921568627451,100,0.51,0.5,0.51,100.08309887869521,100.57509725604353,99.99263555556801,0.009473020768963851,0.009829931972789117
51,0.9615384615384615,100,0.52,0.5,0.52,100.08697975370487,100.63795532509243,100.08572252947535,0.01013524270500225,0.010231481481481482
52,0.9433962264150942,100,0.53,0.5,0.53,100.08992353440952,100.6464491794534,99.95827918108019,0.009902202331317394,0.010650118203309694
53,0.9259259259259258,100,0.54,0.5,0.54,100.09361111111112,100.66490683221359,99.9959840205042,0.009764579684125432,0.011086956521739131
54,0.9090909090909091,100,0.55,0.5,0.55,100.09761989342806,100.68998875910698,99.96265257256034,0.009708986066294936,0.011543209876543212
55,0.8928571428571428,100,0.56,0.5,0.56,100.1019008640291,100.70537235577987,100.06771761471461,0.009475428849410418,0.012020202020202023
56,0.8771929824561403,100,0.5700000000000001,0.5,0.5700000000000001,100.10617640214103,100.77456291316052,99.98235702033577,0.01007209131282054,0.012519379844961242
57,0.8620689655172413,100,0.5800000000000001,0.5,0.5800000000000001,100.10997862740442,100.77315687251398,99.92457097173792,0.009648103610835589,0.013042328042328046
58,0.8474576271186441,100,0.59,0.5,0.59,100.1153125,100.8267995047633,99.93441207683772,0.009872123209723877,0.013590785907859077
59,0.8333333333333334,100,0.6,0.5,0.6,100.12035061357375,100.86490116738446,99.95306474852595,0.009898419714886378,0.014166666666666666
60,0.819672131147541,100,0.61,0.5,0.61,100.12523345305284,100.88510491582025,100.03629987909088,0.009708223408283546,0.014772079772079769
61,0.8064516129032259,100,0.62,0.5,0.62,100.13024967148489,100.94819226007719,100.02445844854418,0.010047688618543047,0.015409356725146199
62,0.7936507936507936,100,0.63,0.5,0.63,100.13650879566983,100.9599929587022,100.03909415767139,0.009651939674558744,0.01608108108108108
63,0.78125,100,0.64,0.5,0.64,100.14172949002217,101.01838213629563,100.01191468000367,0.009896629373450035,0.016790123456790124
64,0.7692307692307692,100,0.65,0.5,0.65,100.1473373117363,101.06425093548755,100.04647092570417,0.009957164147448431,0.017539682539682543
65,0.7575757575757576,100,0.66,0.5,0.66,100.15501762632198,101.14263980425368,99.99292445608484,0.010193650375013616,0.018333333333333333
66,0.7462686567164178,100,0.67,0.5,0.67,100.16293956878226,101.15972141521182,100.01201471693238,0.00978799051824222,0.01917508417508418
67,0.7352941176470588,100,0.68,0.5,0.68,100.16852438645542,101.20139287179785,100.06957935537154,0.009806234049011283,0.02006944444444445
68,0.7246376811594202,100,0.6900000000000001,0.5,0.6900000000000001,100.17839793281654,101.2909903247145,99.98821770644064,0.009978522726871634,0.021021505376344094
69,0.7142857142857142,100,0.7000000000000001,0.5,0.7000000000000001,100.18640026640027,101.3741044453079,99.99379934290373,0.010194871085492715,0.022037037037037042
70,0.704225352112676,100,0.7100000000000001,0.5,0.7100000000000001,100.19681660899654,101.40498997881403,100.07443467838755,0.009821718815112629,0.02312260536398468
71,0.6944444444444444,100,0.72,0.5,0.72,100.20673835125449,101.51411959074957,99.98939114008256,0.010118151617729014,0.024285714285714282
72,0.684931506849315,100,0.73,0.5,0.73,100.2143340691685,101.54001053376362,100.0283604984434,0.00989615114191019,0.02553497942386831
73,0.6756756756756757,100,0.74,0.5,0.74,100.22710172744722,101.68484035002412,100.01343158520899,0.010270207198952913,0.02688034188034188
74,0.6666666666666666,100,0.75,0.5,0.75,100.23910650179498,101.6940361645202,99.9993661517151,0.009735776496602577,0.028333333333333332
75,0.6578947368421053,100,0.76,0.5,0.76,100.2547280334728,101.79211269158651,100.04887315648612,0.009656634252015156,0.02990740740740741
76,0.6493506493506493,100,0.77,0.5,0.77,100.2673729917499,101.92106988958353,99.98715655981195,0.009895969743304867,0.03161835748792271
77,0.641025641025641,100,0.78,0.5,0.78,100.28496350364964,102.07011385704655,100.02022250117422,0.01002318026292533,0.03348484848484849
78,0.6329113924050632,100,0.79,0.5,0.79,100.30095238095238,102.1647712009837,100.07895811728498,0.009908910182444927,0.035529100529100535
79,0.625,100,0.8,0.5,0.8,100.32180813661476,102.30597556893116,100.02325569234095,0.00986509516229727,0.037777777777777785
80,0.6172839506172838,100,0.8100000000000002,0.5,0.81,100.34238648363252,102.47712867723585,100.18688994890854,0.009975824610621051,0.040263157894736855
81,0.6097560975609756,100,0.8200000000000001,0.5,0.8200000000000001,100.36419766796224,102.68291828473012,100.27007824313489,0.010186646739355883,0.04302469135802471
82,0.6024096385542169,100,0.83,0.5,0.8300000000000001,100.38893317702228,102.81110492592519,100.27059900977127,0.009964371843810927,0.046111111111111124
83,0.5952380952380952,100,0.8400000000000001,0.5,0.8400000000000001,100.41937578027466,102.97378859757617,100.1740916268836,0.00974558069377716,0.04958333333333336
84,0.588235294117647,100,0.8500000000000001,0.5,0.85,100.45368912608406,103.23583490181822,100.3720183133411,0.009811637496354591,0.053518518518518514
85,0.5813953488372093,100,0.86,0.5,0.86,100.4963688760807,103.64391808681629,100.59317794000317,0.010145839072227136,0.05801587301587301
86,0.574712643678161,100,0.8699999999999999,0.5,0.87,100.53068702290076,103.8251190846516,100.75483049410427,0.009932579979041649,0.0632051282051282
87,0.5681818181818182,100,0.88,0.5,0.88,100.58777963272121,104.27201429547245,100.86874154957232,0.010028886902922026,0.06925925925925926
88,0.5617977528089888,100,0.89,0.5,0.89,100.66005550416281,104.65102806153999,101.2477348918861,0.009674271408285067,0.07641414141414142
89,0.5555555555555555,100,0.9000000000000001,0.5,0.9,100.70740157480316,105.0797353154217,101.35497049938215,0.009889339003714248,0.08500000000000002
90,0.5494505494505494,100,0.91,0.5,0.91,100.80008800880088,105.76465771331154,101.99696459725712,0.00992804721460825,0.09549382716049386
91,0.5434782608695653,100,0.9199999999999999,0.5,0.92,100.9326582278481,106.73411755585967,102.73906275147509,0.0099525578048407,0.10861111111111117
92,0.5376344086021505,100,0.93,0.5,0.93,101.0661318051576,107.6506997866165,103.57359638515356,0.009881807033021555,0.12547619047619057
93,0.5319148936170213,100,0.9400000000000001,0.5,0.9400000000000001,101.23795716639209,109.07709511797621,104.70026935720121,0.01013170815844046,0.1479629629629631
94,0.5263157894736841,100,0.9500000000000002,0.5,0.9500000000000001,101.52320641282566,111.05842169140797,106.81545027813293,0.010015940267366748,0.1794444444444447
95,0.5208333333333333,100,0.9600000000000001,0.5,0.9600000000000001,101.87121951219513,113.32514298882583,108.70234167318212,0.009793761471154532,0.2266666666666671
96,0.5154639175257733,100,0.97,0.5,0.97,102.43572327044025,117.59913572758693,112.62342478546532,0.009960679944996184,0.30537037037037007
97,0.5102040816326531,100,0.98,0.5,0.98,104.17531914893615,130.40774449709028,122.10212236810126,0.010052376611196463,0.46277777777777734
